Altium Designer Pick and Place Locations
C:\Zolotarev_Aleksandr\Desktop\npcprom\DI\DI\Project Outputs for DI\Pick Place for ≈– ‘.758725.093ƒ11_ÃŒ— .txt

========================================================================================================================
File Design Information:

Date:       20.09.20
Time:       11:47
Revision:   3010f6eac535ec3fecae375260726ed3035bf835
Variant:    No variations
Units used: mm

Designator  Comment                              Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                      
C2          0.01u                                TopLayer    cap_0402                           128.8750     169.6500     270      ""                                                               
C1          0.1u                                 TopLayer    cap_0402                           127.9750     169.6500     90       ""                                                               
C26         "Capacitor ceramic"                  TopLayer    C1206_                             145.2251     140.3750     180      ""                                                               
C25         "Capacitor ceramic"                  TopLayer    C1206_                             135.9250     141.1250     360      ""                                                               
C22         "Capacitor ceramic"                  TopLayer    C0805_                             143.8247     145.1245     90       ""                                                               
C21         "Capacitor ceramic"                  TopLayer    C0805_                             127.4997     145.0995     90       ""                                                               
C20         NFM21CC102R1H3                       TopLayer    NFM21C                             125.0991     147.6990     360      NFM21CC102R1H3                                                   
C19         NFM21CC102R1H3                       TopLayer    NFM21C                             125.0991     149.4740     360      NFM21CC102R1H3                                                   
C18         NFM21CC102R1H3                       TopLayer    NFM21C                             125.0991     151.2740     360      NFM21CC102R1H3                                                   
C13         "Capacitor ceramic"                  TopLayer    C1206_                             145.1504     156.8005     180      ""                                                               
C12         "Capacitor ceramic"                  TopLayer    C1206_                             135.9750     157.5500     360      ""                                                               
C9          "Capacitor ceramic"                  TopLayer    C0805_                             143.7500     161.5500     90       ""                                                               
C8          "Capacitor ceramic"                  TopLayer    C0805_                             127.4250     161.5250     90       ""                                                               
C7          NFM21CC102R1H3                       TopLayer    NFM21C                             125.0245     164.1245     360      NFM21CC102R1H3                                                   
C6          NFM21CC102R1H3                       TopLayer    NFM21C                             125.0244     165.8995     360      NFM21CC102R1H3                                                   
C5          NFM21CC102R1H3                       TopLayer    NFM21C                             125.0244     167.6995     360      NFM21CC102R1H3                                                   
